State,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
Alabama,10882,10280,9523,9076,8485,8080,5899,6642,6063,6484,81414
Alaska,1938,1715,1627,1632,1450,1518,1334,1260,1255,1283,15012
Arizona,10271,11438,14401,13340,13401,12900,12655,13332,12533,12438,126709
Arkansas,4580,4532,4033,3782,3730,4253,3771,3207,3249,3069,38206
Colorado,11598,11210,10474,9972,10199,10648,10114,8333,8873,8975,100396
Connecticut,13732,13438,12615,11955,10560,10611,9938,10031,9584,9294,111758
Florida**,81918,79908,77166,76151,72727,72107,72023,69770,69102,70239,741111
Georgia,32925,34585,32770,31370,30673,30013,31009,33811,31991,33918,323065
Hawaii,3342,3064,2671,2824,1967,2147,2026,2554,2249,2121,24965
Idaho,1650,1510,1440,1458,1375,1353,1272,1289,1285,1257,13889
Illinois,46077,41859,41324,43203,40750,38472,39856,38382,39329,42441,411693
Indiana,10557,10048,9112,8808,8179,8118,7957,7277,7778,8037,85871
Iowa,5821,5399,4815,4648,4423,4020,3989,3722,3269,2849,42955
Kansas,9410,8333,7788,7451,7422,7219,6931,6790,6747,6972,75063
Kentucky,4120,3929,3957,3810,3637,3442,3188,3312,3201,3203,35799
Louisiana,8167,8872,8955,9225,9977,10322,9362,8973,8706,8097,90656
Maine,2413,2311,1773,1004,1939,2021,1836,2021,1959,1949,19226
Massachusetts,22945,20802,20703,20062,19448,19354,18570,17901,18285,18256,196326
Michigan,22357,23307,23366,23230,26120,27629,27151,26395,26594,26716,252865
Minnesota,12388,11505,11070,10701,9904,10123,9861,10017,10134,9910,105613
Mississippi,2438,2297,2224,2176,2170,2303,2613,2569,2594,3005,24389
Missouri,6881,6163,5772,5624,5416,5060,4765,4562,3903,2910,51056
Montana,2223,2160,2147,2031,1842,1690,1611,1618,1561,1674,18557
Nebraska,2551,2464,2372,2299,2177,2270,2004,1907,1958,2078,22080
Nevada,9540,7787,7206,7218,6056,8132,7116,7284,7360,8819,76518
New Jersey,28519,28217,26558,22953,21720,24181,22991,24470,21484,22936,244029
New Mexico,5022,4779,4083,3517,4198,4500,4669,4573,3999,3847,43187
New York ,119996,115724,111296,104370,98046,96711,93096,87325,82966,77447,986977
North Carolina,30596,30952,26192,24439,22820,24605,27631,27138,27183,27581,269137
North Dakota,1290,1291,1247,1330,1182,1264,1166,1160,1155,1141,12226
Ohio,28721,28123,24764,25473,23216,21186,20976,20672,20893,20425,234449
Oklahoma,6430,6097,5416,5150,5013,4916,4709,4294,4681,4990,51696
Oregon,10801,9990,9567,9016,8287,8231,8610,8942,8506,8735,90685
Pennsylvania,37284,36778,36280,34536,32108,32126,31818,30881,30011,30364,332186
Rhode Island,4326,4181,4165,3549,3251,2990,2649,2479,3101,2817,33508
South Carolina,6911,6464,6379,6084,5878,5714,5778,5736,5112,4646,58702
South Dakota,769,737,597,634,601,551,444,472,497,382,5684
Tennessee,17474,16373,16115,15859,14216,12373,11411,11235,10810,10880,136746
Texas,77630,77463,72332,68201,63168,54148,53940,53481,53277,55140,628780
Utah,3665,3780,3386,3273,3102,2948,3176,3008,2923,3082,32343
Vermont,1319,1333,1355,1270,1217,1235,1265,1298,1203,1204,12699
Virginia,27442,25943,25413,22916,20852,20187,18663,17058,15381,16474,210329
Washington,22672,21124,20225,18386,17592,17710,17098,17080,17207,17264,186358
West Virginia,1772,1999,1837,1828,1876,1730,1516,1428,1436,1507,16929
Wisconsin,8542,7825,7249,6927,6462,5800,5660,5612,5818,6224,66119
